CameraID,Region,RoadName
1001,Central,East Coast Parkway (ECP)_1001
1002,Central,Pan-Island Expressway (PIE)_1002
1003,Central,Pan-Island Expressway (PIE)_1003
1004,Central,Kallang Way Flyover_1004
1005,North-East,Kallang-Paya Lebar Expressway (KPE)_1005
1006,East,Kallang-Paya Lebar Expressway (KPE)_1006
1501,Central,Marina Coastal Expressway (MCE)_1501
1502,Central,Marina Coastal Expressway (MCE)_1502
1503,Central,Marina Coastal Expressway (MCE)_1503
1504,Central,Marina Coastal Expressway (MCE)_1504
1505,Central,Marina Coastal Expressway (MCE)_1505
1701,Central,Central Expressway (CTE)_1701
1702,Central,Central Expressway (CTE)_1702
1703,Central,Central Expressway (CTE)_1703
1704,Central,Central Expressway (CTE)_1704
1705,North-East,Central Expressway (CTE)_1705
1706,North-East,Central Expressway (CTE)_1706
1707,Central,Central Expressway (CTE)_1707
1709,Central,Central Expressway (CTE)_1709
1711,North-East,Central Expressway (CTE)_1711
2701,North,Woodlands Causeway_2701
2702,North,Woodlands Checkpoint_2702
2703,North,Pan-Island Expressway (PIE)_2703
2704,North,Bukit Timah Expressway (BKE)_2704
2705,North,Bukit Timah Expressway (BKE)_2705
2706,North,Bukit Timah Expressway (BKE)_2706
2707,North,Bukit Timah Expressway (BKE)_2707
2708,West,Bukit Timah Expressway (BKE)_2708
3702,East,East Coast Parkway (ECP)_3702
3704,Central,East Coast Parkway (ECP)_3704
3705,East,East Coast Parkway (ECP)_3705
3793,East,East Coast Parkway (ECP)_3793
3795,Central,East Coast Parkway (ECP)_3795
3796,Central,East Coast Parkway (ECP)_3796
3797,Central,East Coast Parkway (ECP)_3797
3798,Central,East Coast Parkway (ECP)_3798
4701,Central,Ayer Rajah Expressway (AYE)_4701
4702,Central,Ayer Rajah Expressway (AYE)_4702
4703,West,Tuas Second Link_4703
4704,Central,Ayer Rajah Expressway (AYE)_4704
4705,West,Ayer Rajah Expressway (AYE)_4705
4706,Central,Ayer Rajah Expressway (AYE)_4706
4707,West,Ayer Rajah Expressway (AYE)_4707
4708,Central,Ayer Rajah Expressway (AYE)_4708
4709,West,Ayer Rajah Expressway (AYE)_4709
4710,West,Ayer Rajah Expressway (AYE)_4710
4712,West,Ayer Rajah Expressway (AYE)_4712
4713,West,Tuas Checkpoint_4713
4714,West,Ayer Rajah Expressway (AYE)_4714
4716,West,Ayer Rajah Expressway (AYE)_4716
4798,Central,Sentosa Gateway_4798
4799,Central,Sentosa Gateway_4799
5794,East,Pan-Island Expressway (PIE)_5794
5795,Central,Pan-Island Expressway (PIE)_5795
5797,Central,Pan-Island Expressway (PIE)_5797
5798,Central,Pan-Island Expressway (PIE)_5798
5799,Central,Pan-Island Expressway (PIE)_5799
6701,Central,Pan-Island Expressway (PIE)_6701
6703,Central,Pan-Island Expressway (PIE)_6703
6704,Central,Pan-Island Expressway (PIE)_6704
6705,Central,Pan-Island Expressway (PIE)_6705
6706,North,Pan-Island Expressway (PIE)_6706
6708,West,Pan-Island Expressway (PIE)_6708
6710,West,Pan-Island Expressway (PIE)_6710
6711,East,Pan-Island Expressway (PIE)_6711
6712,Central,Pan-Island Expressway (PIE)_6712
6713,East,Pan-Island Expressway (PIE)_6713
6714,West,Pan-Island Expressway (PIE)_6714
6715,West,Pan-Island Expressway (PIE)_6715
6716,West,Ayer Rajah Expressway (AYE)_6716
7791,East,Tampines Expressway (TPE)_7791
7793,East,Tampines Expressway (TPE)_7793
7794,East,Tampines Expressway (TPE)_7794
7795,East,Tampines Expressway (TPE)_7795
7796,North-East,Tampines Expressway (TPE)_7796
7797,North-East,Tampines Expressway (TPE)_7797
7798,North-East,Tampines Expressway (TPE)_7798
8701,West,Kranji Expressway (KJE)_8701
8702,North,Kranji Expressway (KJE)_8702
8704,West,Kranji Expressway (KJE)_8704
8706,West,Kranji Expressway (KJE)_8706
9701,North,Seletar Expressway (SLE)_9701
9702,North,Seletar Expressway (SLE)_9702
9703,North,Seletar Expressway (SLE)_9703
9704,North,Seletar Expressway (SLE)_9704
9705,North,Seletar Expressway (SLE)_9705
9706,North,Seletar Expressway (SLE)_9706
