LinkID,RoadName,RoadCategory,SpeedBand,MinimumSpeed,MaximumSpeed,Location,start_latitude,start_longitude,end_latitude,end_longitude
103000000,KENT ROAD,E,4,30,39,1.3170142376560023 103.85298052044503 1.3166840028663076 103.85259882242372,1.3170142376560023,103.85298052044503,1.3166840028663076,103.85259882242372
103000010,BUCKLEY ROAD,E,3,20,29,1.3166507852203482 103.84102305136321 1.316912438354752 103.84022564204443,1.3166507852203482,103.84102305136321,1.316912438354752,103.84022564204443
103000011,BUCKLEY ROAD,E,3,20,29,1.316912438354752 103.84022564204443 1.3166507852203482 103.84102305136321,1.316912438354752,103.84022564204443,1.3166507852203482,103.84102305136321
103000014,SHREWSBURY ROAD,E,4,30,39,1.3186726294030418 103.84700267615683 1.3180212058893457 103.84711392225329,1.3186726294030418,103.84700267615683,1.3180212058893457,103.84711392225329
103000015,SHREWSBURY ROAD,E,5,40,49,1.3180212058893457 103.84711392225329 1.3186726294030418 103.84700267615683,1.3180212058893457,103.84711392225329,1.3186726294030418,103.84700267615683
103000018,JALAN KORMA,E,5,40,49,1.3157770120574521 103.84426743639843 1.3159796416371992 103.84479180450104,1.3157770120574521,103.84426743639843,1.3159796416371992,103.84479180450104
103000019,JALAN KORMA,E,5,40,49,1.3159796416371992 103.84479180450104 1.3157770120574521 103.84426743639843,1.3159796416371992,103.84479180450104,1.3157770120574521,103.84426743639843
103000022,SING AVENUE,E,5,40,49,1.3157638139947652 103.85346718361517 1.3159850985084538 103.8540099459191,1.3157638139947652,103.85346718361517,1.3159850985084538,103.8540099459191
103000023,SING AVENUE,E,5,40,49,1.3159850985084538 103.8540099459191 1.3157638139947652 103.85346718361517,1.3159850985084538,103.8540099459191,1.3157638139947652,103.85346718361517
103000026,MOULMEIN RISE,E,8,70,999,1.3193495076454247 103.84576595796847 1.3193341206043803 103.84649970636902,1.3193495076454247,103.84576595796847,1.3193341206043803,103.84649970636902
103000027,MOULMEIN RISE,E,8,70,999,1.3193341206043803 103.84649970636902 1.3193495076454247 103.84576595796847,1.3193341206043803,103.84649970636902,1.3193495076454247,103.84576595796847
